citizen_id,name,gender,birth_year,state,status,registered_date
CZ00001,Peter Nnamdi,Female,1971,Anambra,Alive,2023-11-21
CZ00002,Andrew Aliyu,Male,1999,Borno,Alive,2023-11-04
CZ00003,James Okafor,Female,1989,Kano,Alive,2023-11-26
CZ00004,Joseph Nwosu,Male,1990,Sokoto,Alive,2021-11-27
CZ00005,Paul Adeyemi,Female,2004,Anambra,Alive,2022-04-11
CZ00006,Joy Bello,Male,1946,Kano,Alive,2020-01-31
CZ00007,Peter Danjuma,Female,1986,Anambra,Alive,2017-02-04
CZ00008,John Hassan,Male,1944,Oyo,Alive,2022-07-22
CZ00009,Helen Mohammed,Male,2006,Anambra,Alive,2024-04-10
CZ00010,Ahmed Brown,Female,1953,Borno,Alive,2018-04-10
CZ00011,Joy Suleiman,Female,1975,Anambra,Alive,2017-12-24
CZ00012,Mary Eze,Male,1998,Lagos,Alive,2015-10-15
CZ00013,Funke Balogun,Male,2008,Delta,Alive,2021-03-29
CZ00014,Stella Abubakar,Male,1956,Plateau,Alive,2024-05-07
CZ00015,Zainab Garba,Female,1966,Kano,Alive,2015-09-26
CZ00016,Chioma Clark,Female,1955,Plateau,Alive,2022-07-31
CZ00017,Aisha Davis,Female,1955,Sokoto,Alive,2015-02-28
CZ00018,Victor James,Female,1966,Oyo,Alive,2021-04-20
CZ00019,David Suleiman,Female,1996,Lagos,Alive,2015-08-02
CZ00020,Emeka Miller,Male,1988,Oyo,Alive,2019-06-04
CZ00021,David Taylor,Male,1954,Sokoto,Alive,2015-07-22
CZ00022,Emeka Okonkwo,Female,1938,Oyo,Alive,2023-12-02
CZ00023,Amina Igwe,Female,1997,Delta,Alive,2018-06-15
CZ00024,Daniel Moore,Female,1952,Sokoto,Alive,2019-04-16
CZ00025,Daniel Bello,Female,1976,Plateau,Alive,2024-07-20
CZ00026,Helen Nnamdi,Female,1986,Rivers,Alive,2016-08-04
CZ00027,Michael Idris,Male,1958,Lagos,Alive,2023-10-26
CZ00028,Amina Mohammed,Male,1971,Rivers,Alive,2021-01-15
CZ00029,Tunde Idris,Female,1963,Delta,Alive,2017-01-13
CZ00030,Chioma Wilson,Male,2005,Lagos,Deceased,2022-12-21
CZ00031,Chinedu Johnson,Male,1984,Anambra,Alive,2019-06-18
CZ00032,Musa Obi,Male,1967,Sokoto,Deceased,2018-07-08
CZ00033,John Davis,Female,1954,Enugu,Alive,2024-03-02
CZ00034,Chinedu Danjuma,Female,2008,Kano,Alive,2021-09-28
CZ00035,Sarah Aliyu,Female,2001,Enugu,Alive,2022-11-04
CZ00036,Stella Umeh,Male,1943,Delta,Alive,2017-04-04
CZ00037,Victor Mohammed,Female,1988,Kano,Alive,2022-04-23
CZ00038,David Suleiman,Male,1991,Anambra,Alive,2020-10-02
CZ00039,Ahmed Idris,Male,1963,Lagos,Alive,2022-06-02
CZ00040,Halima Adeyemi,Male,1970,Sokoto,Alive,2024-03-01
CZ00041,Rebecca Clark,Female,1965,Edo,Alive,2018-09-03
CZ00042,Rita Nwosu,Male,1939,Anambra,Alive,2020-07-07
CZ00043,Joy Balogun,Male,1992,Plateau,Deceased,2022-06-29
CZ00044,Tobi Lawal,Male,1996,Anambra,Alive,2018-06-07
CZ00045,Stella Wilson,Male,1955,Kaduna,Alive,2018-06-30
CZ00046,Rebecca Smith,Male,2005,Rivers,Alive,2020-11-09
CZ00047,Esther Amadi,Female,1994,Kano,Alive,2022-11-23
CZ00048,Halima Yusuf,Female,1982,Plateau,Alive,2022-08-23
CZ00049,Samuel Lawal,Male,1938,Kaduna,Alive,2017-11-07
CZ00050,Amina Aliyu,Male,1965,Delta,Alive,2023-01-12
CZ00051,Ahmed Adamu,Female,1994,Edo,Alive,2020-03-02
CZ00052,Stella Uche,Male,1984,Delta,Alive,2016-02-10
CZ00053,Samuel Yusuf,Male,1979,Plateau,Alive,2015-03-19
CZ00054,David Aliyu,Male,1985,Delta,Alive,2022-11-08
CZ00055,Paul Davis,Male,2004,Rivers,Alive,2018-06-19
CZ00056,Samuel Okoro,Female,1935,Kaduna,Alive,2016-07-06
CZ00057,Musa Clark,Male,1974,Oyo,Alive,2019-07-09
CZ00058,Funke Davis,Male,2008,Delta,Alive,2024-11-28
CZ00059,Mary White,Male,1945,Edo,Alive,2016-09-15
CZ00060,Sarah James,Female,1995,Plateau,Alive,2016-09-17
CZ00061,Blessing Smith,Female,1971,Enugu,Alive,2024-12-25
CZ00062,David Mohammed,Male,2000,Kano,Alive,2019-01-15
CZ00063,Blessing Garba,Male,1955,Lagos,Alive,2020-07-20
CZ00064,Blessing Idris,Male,1939,Kano,Alive,2019-01-08
CZ00065,George Lawal,Female,1960,Sokoto,Alive,2023-03-01
CZ00066,Aisha Clark,Male,1976,Oyo,Alive,2020-08-21
CZ00067,John Garba,Male,1937,Sokoto,Alive,2020-07-15
CZ00068,Andrew Adamu,Female,1937,Enugu,Alive,2017-06-09
CZ00069,Stella Moore,Male,1974,Edo,Alive,2020-03-15
CZ00070,Joy Okafor,Female,1957,Delta,Alive,2021-10-23
CZ00071,Mary Wilson,Male,1958,Borno,Alive,2024-11-20
CZ00072,Frank Yusuf,Male,2000,Borno,Alive,2023-09-12
